word	meaning	example	example_ja
abandon	leave	He tried to abandon his diet, but the scale kept judging him.	彼はダイエットをやめようとしたけど、体重計がずっと責めてきた。
abate	go down	The storm finally abated... just as his umbrella gave up.	嵐がやっと弱まった……ちょうど傘が壊れたタイミングで。
abbey	church	The ghosts in the abbey insisted on holding choir practice.	修道院の幽霊たちは合唱練習をやめなかった。
abbreviate	shorten	Why say "refrigerator" when you can abbreviate it to "fridge"?	「冷蔵庫」って言うより「フリッジ」って略した方が早いやん。
abdomen	stomach	He blamed his huge abdomen on "air retention," not snacks.	彼はでっぷりしたお腹を「空気のせい」にしてた。お菓子じゃなくて。
abide	follow	He can’t abide by the rules if the rules say no dessert.	ルールがデザート禁止なら、彼はルールに従えない。
abrupt	sudden	The meeting ended so abrupt, even the coffee looked confused.	会議が突然終わりすぎて、コーヒーすら戸惑ってた。
absorb	take in	This sponge absorbs everything... including office gossip.	このスポンジは何でも吸い取る。社内の噂話も含めて。
abstract	unclear	I tried to understand the abstract painting, but it stared back.	抽象画を理解しようとしたら、逆にこっちを見返してきた。
abundant	plenty	There was an abundant supply of snacks… until Dave showed up.	お菓子は山ほどあった……デイブが来るまでは。
abuse	hurt	He abused the coffee machine so much, it started spitting foam.	彼がコーヒーマシンを乱暴に使いすぎて、泡を吹き始めた。
accelerate	go faster	The project started to accelerate once caffeine was introduced.	カフェインが導入されてから、プロジェクトが急加速した。
acceptance	approval	Her cat finally showed acceptance—by not scratching him.	彼女の猫がやっと受け入れてくれた。引っかかなかったから。
access	entry	He forgot his password, so access to his own fridge was denied.	パスワードを忘れて、自分の冷蔵庫にすらアクセスできなかった。
accessible	open	The mountain hut is only accessible by foot.	その山小屋には歩いてしか行けない。
accidental	unplanned	She made an accidental call to her ex at 2AM.	彼女は元カレにうっかり深夜2時に電話してしまった。
accommodate	help	The hotel can accommodate up to 500 guests.	そのホテルは500人まで泊まれる。
accompany	go with	My cat likes to accompany me to the bathroom.	うちの猫はトイレまでついてくるのが好き。
accomplish	finish	He managed to accomplish his goal before lunch.	彼は昼までに目標をやり切った。
accord	match	His story doesn’t accord with the evidence.	彼の話は証拠と合っていない。
accordance	agreement	She acted in accordance with the instructions.	彼女は指示通りに行動した。
according to ~	based on	According to my cat, 5AM is breakfast time.	うちの猫によると朝5時が朝ごはんの時間らしい。
account	explanation	He gave a dramatic account of how he survived.	彼はどう生き延びたかをドラマチックに語った。
accountant	money person	My accountant said “no” with a smile.	会計士は笑顔で「ダメです」と言った。
account for ~	explain	I can’t account for why my fridge is empty again.	また冷蔵庫が空なのを説明できない。
accrue	collect	Points accrue every time you ignore adulting.	大人っぽいことを無視するたびにポイントがたまる。
accurately	exactly	He can accurately guess your mood from your snack choice.	彼はお菓子の選び方で君の気分を当てられる。
accuse	blame	She accused the cake of being too delicious.	彼女はそのケーキが美味しすぎると責めた。
accuse A of ~	say A did ~	They accused the hamster of tax fraud.	彼らはハムスターを脱税で訴えた。
accustom	get used to	I’m slowly accustoming myself to waking up before noon.	昼前に起きるのにちょっとずつ慣れてきた。
ache	pain	My legs ache like I fought a bear in my sleep.	足が痛くて、寝てる間にクマと戦ったみたい。
acid	sour	The lemonade was so acid it woke me up better than coffee.	レモネードが酸っぱすぎてコーヒーより目が覚めた。
acknowledge	accept	He finally acknowledged that the cat was the boss.	ついに彼は猫がボスだと認めた。
acoustic	sound	She bought an acoustic guitar to look more poetic.	彼女は詩人っぽく見せるためにアコギを買った。
acquire	get	I’m trying to acquire the skill of waking up like a human.	人間らしく起きるスキルを身につけようとしてる。
acquisition	getting	The acquisition of snacks was his top priority.	お菓子の確保が彼の最優先事項だった。
acquisitive	greedy	Her acquisitive nature turned her closet into a black hole.	彼女の物欲でクローゼットがブラックホール化した。
activate	start	Pushing this button will activate chaos mode.	このボタンを押すとカオスモードが起動します。
act on ~	do something about ~	He decided to act on his dream of owning a duck army.	彼はアヒル軍団を持つ夢に向かって行動することにした。
actual	real	My actual weekend plan is just avoiding people.	実際の週末の予定は人を避けることだけ。
acuity	sharpness	Coffee improves my mental acuity by at least 3%.	コーヒーは私の思考の鋭さを3％くらい上げてくれる。
adaptation	change	The movie is a weird adaptation of a cooking show.	その映画は料理番組の妙なアレンジだった。
add A to B	put A in B	Don’t forget to add sarcasm to your compliments.	褒め言葉には皮肉を忘れずに入れてね。
addict	fan	He's a phone addict who checks messages in dreams.	彼は夢の中でも通知を確認するスマホ中毒者だ。
addictive	habit-forming	This new cereal is dangerously addictive.	この新しいシリアル、中毒性がやばい。
address	speak to	She tried to address the issue, but the issue ran away.	彼女は問題に向き合おうとしたが、問題が逃げた。
adequate	enough	My cooking skills are adequate for survival… barely.	私の料理スキルは、かろうじて生存には足りてる。
adhesive	sticky	I used so much adhesive that now the table is part of the floor.	接着剤使いすぎて机が床の一部になった。
adjacent	next to	The cookie jar is always adjacent to danger.	クッキージャーはいつも危険の隣にある。
adjunct	add-on	He works as an adjunct professor and full-time snack critic.	彼は非常勤講師であり、常勤お菓子評論家でもある。
adjust	change slightly	I had to adjust my sleep schedule… again.	睡眠スケジュールをまた調整し直す羽目になった。
administer	give	She administered the quiz with the enthusiasm of a sloth.	彼女はナマケモノ並みのやる気で小テストを実施した。
admire	look up to	My cat admires no one. She *is* the queen.	うちの猫は誰も尊敬しない。彼女が女王なのだから。
admittedly	to be fair	Admittedly, I did eat the whole cake—but it was small.	確かにケーキ全部食べたけど、ちっちゃかったんだ。
admonish	warn	My mom admonished me with just one look.	母は一瞥で私を叱った。
adobe	clay	The house was made of adobe and good vibes.	その家は日干しレンガと良い雰囲気でできていた。
adolescent	teenager	Every adolescent thinks they invented sarcasm.	すべてのティーンは皮肉を発明したと思っている。
adopt	take in	We adopted a cat. She adopted our bed.	私たちは猫を引き取った。彼女は私たちのベッドを引き取った。
adorn	decorate	She adorned her laptop with 53 stickers and no regrets.	彼女はノートパソコンに53枚のステッカーを貼った。後悔はない。
advance	move forward	Technology advances faster than my ability to care.	技術の進歩は私の興味のスピードを超えている。
advancement	progress	His career advancement was powered by caffeine and chaos.	彼の出世はカフェインと混沌に支えられていた。
advantage	benefit	One advantage of being tall: top shelf snacks.	背が高いことの利点：上段のお菓子が取れる。
advent	arrival	The advent of winter means socks become permanent.	冬の到来＝靴下が一生モノになる。
adverse	bad	Adverse weather canceled my plans to do nothing outside.	悪天候のせいで、外で何もしない予定が中止に。
advertisement	ad	pandas in commercials = automatic win.	CMにパンダ出したら勝ち確。
advocate	supporter	He's an advocate for more snack breaks at work.	彼は職場のスナック休憩拡充を主張している。
aesthetic	style	Her aesthetic is 90% plants and 10% chaotic energy.	彼女の美学は植物9割、カオス1割。
affectionately	with love	He affectionately named his cactus "Spikezilla."	彼はサボテンに愛情を込めて「スパイクジラ」と名付けた。
affiliation	connection	My only gym affiliation is walking past it proudly.	私のジムとのつながりは、その前を誇らしく通り過ぎること。
affirmative	yes	The robot’s response was a firm “affirmative.”	ロボットの返答は力強い「了解」であった。
afflict	hurt	My weekend was afflicted by a wild swarm of deadlines.	週末は締切ラッシュに襲われた。
affluent	rich	Their dog lives a more affluent life than I do.	あの犬のほうが私より裕福に暮らしている。
afford	pay for	I can’t afford to lose my only pair of clean socks.	唯一の清潔な靴下を失う余裕はない。
after all	in the end	I didn’t need that third donut… after all.	結局、3つ目のドーナツはいらなかった。
aftermath	result	In the aftermath of karaoke night, my voice quit.	カラオケの翌日、私の声は辞職した。
against one's will	forced	I cleaned the room against my will and better judgment.	不本意かつ理性に反して部屋を片づけた。
agenda	plan	My weekend agenda: nap, snack, repeat.	週末の予定：昼寝→おやつ→繰り返し。
agent	representative	She hired an agent to negotiate her cat’s modeling career.	彼女は猫のモデル契約交渉のために代理人を雇った。
aggravate	make worse	My jokes aggravated the awkward silence.	私のジョークは気まずい沈黙をさらに悪化させた。
aggregate	total	The aggregate snack count exceeded human limits.	お菓子の総数が人間の限界を超えた。
aggressive	pushy	He plays chess with an aggressive potato chip strategy.	彼はポテチ片手に攻撃的なチェス戦法を使う。
agrarian	farming	The agrarian lifestyle looks peaceful—until 5AM rooster calls.	農業生活は平和そうに見えるが、朝5時のニワトリで台無し。
agree with ~	support ~	My stomach doesn’t agree with midnight tacos.	私の胃は深夜のタコスに賛成していない。
aid	help	Chocolate aided my recovery from the Monday blues.	チョコは月曜の憂鬱からの回復を助けてくれた。
aim	goal	My aim this weekend is to do absolutely nothing.	今週末の目標は「何もしないこと」。
aim at ~	target ~	The ad aims at people who think breakfast is optional.	その広告は朝ごはんを軽視してる人を狙っている。
airborne	in the air	My dreams are airborne, unlike my paper airplanes.	私の夢は空を飛ぶけど、紙飛行機は飛ばない。
aisle	walkway	I got lost in the snack aisle for 20 minutes.	お菓子売り場で20分迷子になった。
akin	similar	Coffee is akin to magic for morning zombies.	朝のゾンビにとってコーヒーは魔法に近い。
a large amount of ~	a lot of (uncountable)	I spilled a large amount of regret on my homework.	宿題に大量の後悔をこぼした。
a large number of ~	a lot of (countable)	A large number of socks vanish after laundry.	洗濯後、大量の靴下が消える。
alarmingly	worryingly	He is alarmingly good at making excuses.	彼は驚くほど言い訳がうまい。
alert	ready	Cats are always alert when snacks are involved.	おやつが関係すると猫は常に警戒態勢。
algae	water plant	Algae sounds fancy but is basically pond slime.	藻って聞くとおしゃれだけど、ただの池のぬめり。
alien	extraterrestrial	That alien had better fashion sense than me.	あの宇宙人の方が私よりファッションセンスが良かった。
alienate	push away	He alienated his plants by forgetting to water them.	彼は植物に水をあげ忘れて距離を置かれた。
align	line up	My socks never align after laundry.	洗濯後、靴下が絶対に揃わない。
all along	from the beginning	The cookie was in my pocket all along.	クッキーは最初からずっとポケットにあった。
all but ~	almost ~	I’ve all but given up on understanding TikTok trends.	私はTikTokの流行を理解するのをほぼ諦めた。
allergic	sensitive to	I’m allergic to early mornings and bad Wi-Fi.	早起きと悪いWi-Fiにアレルギーがある。
alleviate	relieve	This cat video helped alleviate my existential crisis.	この猫動画が存在の危機を和らげてくれた。
alley	narrow street	He found a taco truck hidden in a mysterious alley.	彼は謎の路地でタコスの屋台を見つけた。
alliteration	same starting sound	She loves alliteration, like "snack-savvy sloth."	彼女は「スナックに精通したナマケモノ」みたいな頭韻が大好き。
allocate	assign	I allocate 90% of my brain to snack thoughts.	脳の9割はお菓子のことに使っている。
all of a sudden	suddenly	All of a sudden, my cat decided to climb the fridge.	突然、うちの猫が冷蔵庫を登り始めた。
allot	divide	I allotted 10 minutes for studying and 50 for complaining.	勉強に10分、文句に50分を割り当てた。
allowance	pocket money	My monthly allowance disappears in one bookstore trip.	月のお小遣いは本屋1回で消える。
allow for ~	consider	We need to allow for the possibility of snack theft.	お菓子の盗難の可能性も考慮しないといけない。
all the same	still	He forgot my birthday—but all the same, I forgave him.	彼は誕生日を忘れたけど、それでも許した。
all the time	always	My brain sings random jingles all the time.	脳内でいつも意味不明なCMソングが流れている。
all the way	completely	I walked all the way to the kitchen for one cookie.	たった一枚のクッキーのためにキッチンまで歩いた。
allure	attraction	The allure of a nap is stronger than any motivation.	昼寝の魅力はどんなやる気にも勝る。
allusion	indirect reference	He made an allusion to his snack stash without naming it.	彼はお菓子の隠し場所についてほのめかした。
alongside	next to	My tea sits quietly alongside my ignored to-do list.	紅茶が、無視されたToDoリストの横に静かに置かれている。
alter	change	I altered my plan when I saw the pizza.	ピザを見た瞬間、予定を変えた。
alternate	switch	I alternate between being productive and staring at walls.	生産的になるのと壁を見るのを交互に繰り返している。
alternative	another option	My alternative to studying was reorganizing my pencils.	勉強の代わりに鉛筆を並べ直した。
altimeter	height meter	My altimeter said I climbed 3 floors. My legs said 30.	高度計は3階分って言ったけど、足は30階だと叫んでた。
a man of ~	someone with ~	He's a man of mystery—and unmatched sock choices.	彼はミステリアスな男で、靴下の選び方も謎。
amass	collect	I managed to amass 12 mugs without noticing.	気づかぬうちにマグカップが12個たまっていた。
amateur	beginner	As an amateur baker, my cookies are 80% hope.	素人ベイカーとして、私のクッキーは希望80％でできている。
